page_name,page_url,likes,link_url,whatsapp_number,duration_days,publisher_platforms,delivery_start,delivery_stop,ad_body,ad_image,score,reasons,flags,page_id,ad_id,collected_at
Lakemzyasooke ng,https://www.facebook.com/61552534070671/,150,https://api.whatsapp.com/send,+2348111859229,41,['INSTAGRAM'],2026-02-26T08:00:00,2026-04-09T07:00:00,"NEW IN , HOH inspired Chantily lace ! 

.
.
PRICE :125,000 naira /5yards 📌📌📌

.

. GELE: SOLD SEPARATELY 

 . TO ORDER ; 👇🏾
 Kindly send a dm for fast response or call Bunmi on 0803 630 6970 / +234 811 185 9229

OR VISIIT OUR PHYSICAL STORE : 

23, opebi road , Ikeja , Lagos .

PAYMENT VALIDATES ORDER!
Serious buyers only 🙏🏾
Thank you for shopping 🛍

⛔ Asoebi orders also available,  let us do the stress on your behalf ✅

⛔Free consultations available ✅
-————
📌📌Available in-store / Online 
☎️Inbox or WhatsApp 08168011074 to place your order.
———————
📌📌Worldwide Delivery ✈️✈️🛵🛵🚛🚛
👉Same Day Delivery Through our Dispatchers Within Lagos📌
👉24Hrs Delivery Thru  BusPark For Outside Lagos📌
👉GIG Delivery  is 2-3 Days For Outside Lagos Residents 📌
👉DHL Delivery is 3-5 Days Outside  Nigeria 📌
👉UPS De",,98,"click-to-whatsapp, whatsapp-cta, wa:+2348111859229, active-41d, ng-cues:nigeria,lagos,naira, category:lace,hat, small-mid-150, naira-pricing",,138063836059200,25971140009213357,2026-08-28T08:32:34.826352+00:00
Dejiandkola,https://www.facebook.com/dejiandkola/,16397,https://api.whatsapp.com/send,+2348179435662,337,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER', 'THREADS']",2025-07-27T07:00:00,2026-06-29T07:00:00,"The unaltered Suit 2 

An Ivory White, knitted, horizontal spiral floral pattered, peak lapel tuxedo suit, glass Swarovski stones detailing, tux pant & diamond shaped bow tie.

What you get :

suit
pant trousers
Bow tie 

Other items on request:

Signature Accessories
shirt

Price - available on website

To Order:

iMessage, Text or WhatsApp : +2348179435662
Email: info@dejiandkola.com
Website: www.dejiandkola.com

.
.
.
.
#suiting #suit #suits #suitstyle #lagosnigeria #ghana #nigeria #kenya #dubai #uae #usa #france #canada #london #russia #fashion #naija #naijaweddings #abuja #wedding #weddingguest #weddingsuit #weddinginspiration #weddingday #suit #suitstyle #suitup #suits",,86,"click-to-whatsapp, whatsapp-cta, wa:+2348179435662, active-337d, ng-cues:nigeria,lagos,abuja, category:fashion,accessor,hat, small-mid-16397",,103967496754183,1419782609230434,2026-08-28T08:33:17.606368+00:00
iaaccf.org,https://www.facebook.com/61558658254423/,48,https://api.whatsapp.com/send,,86,['INSTAGRAM'],2025-09-01T07:00:00,2025-11-26T08:00:00,"That moment you have been waiting for is here!

Do you own an African inspired business? Are you an Artists, Craftsman or have African inspired products? 
This is the opportunity to show the world what your innovations.

If you haven’t registered for a booth/stand you are loosing out.

Do you want to attend as an International visitor? 

Few weeks to December 14th 2025.

Register to exhibit here
https://lnkd.in/dxpNkWGp

350CAD within Canada
500CAD for International exhibitors/vendors

Register as a visitor here
https://lnkd.in/dmBpQpD4

10CAD within Canada
300CAD for International Visitors (Includes  Invitation letters)

🪑Handcrafted goods
💊Phytomedicines and phyto therapeutics
🪴Agro-processing businesses
🧚‍♀️Natural body products
🎀African fashion & accessories
🌅Cultural expressions and m",,81,"click-to-whatsapp, whatsapp-cta, active-86d, ng-cues:ng , category:fashion,accessor,hat, small-mid-48",,316937704828024,702979376096942,2026-08-28T08:33:27.103701+00:00
IDJ Ankara Boutique,https://www.facebook.com/IDJAnkara/,8735,https://api.whatsapp.com/send,,6,['INSTAGRAM'],2025-09-15T07:00:00,2025-09-21T07:00:00,"This dress 😍 isn’t just a set—it’s comfort, culture, and class all in one! ✅ Price: ₦13,000 ✅ Sizes: 8–18 (ready to ship) ✅ Delivery: Nationwide in 4-6 days, In Lagos 24-48hrs 🚚 Stocks are flying fast—PLACE YOUR ORDER NOW to order before your size sells out! ⏳🔥 #ankara #ankaraidj #beauty #shopnow #clothing",,78,"click-to-whatsapp, whatsapp-cta, ng-cues:lagos,₦,ng , category:clothing,boutique,beauty, small-mid-8735, naira-pricing",,390801124586982,2159950561164898,2026-08-28T08:31:35.764042+00:00
La Charis Nigeria - Fashion,https://www.facebook.com/lacharisbridal/,412817,https://api.whatsapp.com/send?phone=2348145464178&token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEyNSJ9.eyJleHAiOjE3Nzk1NTM3NjksInBob25lIjoiMjM0ODE0NTQ2NDE3OCJ9.TubmIpi2WmwW3UFoe-Bxdcp8WHQ_cayUa0-AvFGe3DHyhGD688Egk602Lv0qj8gF2nz8OFVMvdkQwYTevr7ePg,2348145464178,88,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER']",2026-05-31T07:00:00,2026-08-27T07:00:00, ,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.35426-6/705394108_997804846164100_5232420843957606359_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=NW3ykDBXHyQQ7kNvwFJPYKb&_nc_oc=AdoXrODeqN4li1qNXEtad6ST9BZ54ISW89Z_qtuh5YB8jo2xe4XjNjxwYi1BjkLCKDMycb5mwoINykLhk1SM-ya1&_nc_zt=14&_nc_ht=scontent-dfw5-1.xx&_nc_gid=zorpRLU-oHaxkfSdSiwyaw&_nc_ss=79289&oh=00_AQHkbiZBJELhWk4iGFXIr5IQoV-rmbQ5jVT1FNREYXQNhw&oe=6A972486,78,"click-to-whatsapp, whatsapp-cta, wa:2348145464178, active-88d, ng-cues:nigeria, category:fashion,hat",,424222791039360,834930742671135,2026-08-28T08:33:19.938458+00:00
Dejiandkolaafrica,https://www.facebook.com/dejiandkolaafrica/,6408,https://api.whatsapp.com/send?phone=16505555555,16505555555,106,"['FACEBOOK', 'INSTAGRAM', 'AUDIENCE_NETWORK', 'MESSENGER']",2026-01-26T08:00:00,2026-05-13T07:00:00,Alkbulan Trad,https://scontent-icn2-1.xx.fbcdn.net/v/t39.35426-6/619433013_1833944483987071_4569879564406113666_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=XCnGi1FCNAwQ7kNvwHdv8fX&_nc_oc=AdpXgvbjBqPA5AFAYbGTSIO1ef_Cyj2BBk4MeV6vA4LONMUwiBsDikkFGRVX4VN9_GQ2dMQ-nvUwu79oW0mMQM4C&_nc_zt=14&_nc_ht=scontent-icn2-1.xx&_nc_gid=Hyvq1SIH_lqBjA2L3wINzw&_nc_ss=7b289&oh=00_AQFodRmw37aOFsR2wJbBg0vJ4MT7EjL9VQcQPeYgc502ew&oe=6A972A75,76,"click-to-whatsapp, whatsapp-cta, wa:16505555555, active-106d, category:agbada,hat, small-mid-6408",,105711774371598,1271515921463376,2026-08-28T08:31:38.140841+00:00
Luchinostore,https://www.facebook.com/luchinostore/,20297,https://api.whatsapp.com/send,+2348076851100,5,['INSTAGRAM'],2025-11-08T08:00:00,2025-11-13T08:00:00,"These lovely 👖  a#fashionblogger e available for sale 

Price : N30,000

Sizes: 8 - 20 

Call/Whatsapp +2348076851100 

Wholesale And Retail Available 

Our Outlet is located Shop 9/11 Breadfruit Plaza. No 10 Davis Street Balogun Lagos Island. 

- Shop 4 Faith Plaza. No 35/37 Martin Street By Sanni Adewale Street Balogun Lagos Island

#jeans #viral #fashionstyle #fashionblogger #fashionable #bloggerstyle #wholesale #wholesaler #boutique #sales #clothing #lagosvendors #clothingbrand #fashionweek #fashiondesigner #fashioninspodaily #chivido2024 #viralvideos #trendingreels #trend #trending #fashionstyle",,71,"click-to-whatsapp, whatsapp-cta, wa:+2348076851100, ng-cues:lagos,ng ,lag, category:fashion,clothing,boutique, small-mid-20297",,111255096106571,3502430869897283,2026-08-28T08:31:35.262265+00:00
Triple D Roof and Doors ,https://www.facebook.com/61568598840541/,227,https://api.whatsapp.com/send,,17,"['FACEBOOK', 'INSTAGRAM', 'WHATSAPP']",2026-08-02T07:00:00,2026-08-19T07:00:00,"Have you ever believed that 50 years warranty is real, yes it’s 100 💯 real, please pay attention to this video..

We are very sure of our products..

#fypシ゚viralシ
#stonecoatedrooftiles
#roofingexperts",,71,"click-to-whatsapp, whatsapp-cta, active-17d, category:hat, small-mid-227",,414522695088690,1368330577980928,2026-08-28T08:31:35.595322+00:00
Tony Best Cosmetics,https://www.facebook.com/Gistnaijazone/,21602,https://api.whatsapp.com/send,+2348147224088,6,"['FACEBOOK', 'INSTAGRAM']",2026-02-26T08:00:00,2026-03-04T08:00:00,"Hello, Tony Best Cosmetics deals on quality cosmetics products, we deals strictly on wholesale and we ship worldwide, any country of your choice we ship but strictly on wholesale only.

Call/WhatsApp +2348147224088

Address: Ogun Cluster, Trade Fair Complex, Lagos Nigeria.

We are 100% guaranteed when it come to cosmetics products.",,71,"click-to-whatsapp, whatsapp-cta, wa:+2348147224088, ng-cues:nigeria,lagos,lag, category:cosmetic,dress,hat, small-mid-21602",,335426863805464,1249859243139362,2026-08-28T08:32:20.147736+00:00
Angelmercy Collection,https://www.facebook.com/100083314178278/,3730,https://api.whatsapp.com/send,+2348107018264,3,['INSTAGRAM'],2026-07-06T07:00:00,2026-07-09T07:00:00,"This Luxury Denim Dungarees Is Everything 💃 For Classy Boss Divas , ODOGWU, Plus Sizes And Yummy Mummy💯 Free Delivery On Outfits Above 100,000🇳🇬

Size: L-4XL (12-20)

SALES  PRICE: #49000 

Please Walk-in To The 6, Akeran Road, Beside Diva’s Cake, Wise Buyer Magboro And Shop For Yourself And Your Children 

Online Shopping 🛒 🛍️Screenshots Items You Want On What’s App +2348107018264 (Click Link In Bio) OR Send A DM

WHOLESALE DEAL AVAILABLE✅

BRANCH OFFICE👉 OSHODI LAGOS

UK, USA, KENYA, ABUJA, GHANA AND BOUTIQUE OWNER

🎁 WORLDWIDE DELIVERY 🌏

#turkeydress #plussizefashion #jeans  #explore  turkeytop denim Ghana🇸🇳 supplier wholesale clothing clothingstoreinmagboro Dungress Lekki ajah ikoyi maryland
newarrivals  freestyle marketplace plussizefashion",,68,"click-to-whatsapp, whatsapp-cta, wa:+2348107018264, ng-cues:lagos,abuja,warri, category:fashion,clothing,boutique, small-mid-3730, naira-pricing",one-off-ad,110860868331293,1303289241574465,2026-08-28T08:31:46.323096+00:00
